time,latitude,longitude,mag,id,updated,place,type,geom,state
2014-08-04 18:23:01.5-04,35.5977,-97.4066,3.2,usb000s04g,2015-01-28 10:40:39.593-05,"8km SE of Edmond, Oklahoma",earthquake,0101000020AD1000006EA301BC055A58C0DC68006F81CC4140,Oklahoma
2014-08-04 15:30:42.76-04,35.815,-97.42,3.3,usb000rzuh,2015-01-28 19:14:51.532-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD1000007B14AE47E15A58C0B81E85EB51E84140,Oklahoma
2014-08-03 17:11:06.1-04,35.614,-96.9408,3.1,usb000rznt,2015-01-31 00:18:55.465-05,"11km SSW of Chandler, Oklahoma",earthquake,0101000020AD100000EA043411363C58C03CDF4F8D97CE4140,Oklahoma
2014-08-03 12:21:26.6-04,35.8178,-97.4241,3,usb000rzn4,2015-01-30 10:38:30.422-05,"6km S of Guthrie, Oklahoma",earthquake,0101000020AD100000F38E5374245B58C09B559FABADE84140,Oklahoma
2014-08-03 04:57:57.6-04,35.772,-97.477,3.2,usb000rzll,2015-01-28 17:25:04.726-05,"12km SSW of Guthrie, Oklahoma",earthquake,0101000020AD1000004A0C022B875E58C0894160E5D0E24140,Oklahoma
2014-08-02 01:44:30.4-04,36.773,-98.069,3.1,usb000rze7,2014-10-29 15:52:53-04,"25km E of Cherokee, Oklahoma",earthquake,0101000020AD10000023DBF97E6A8458C06DE7FBA9F1624240,Oklahoma
2014-08-01 14:44:27.7-04,36.7621,-98.0439,3.2,usb000rz5v,2015-01-30 09:17:14.597-05,"27km E of Cherokee, Oklahoma",earthquake,0101000020AD100000D712F241CF8258C00B24287E8C614240,Oklahoma
2014-08-01 14:19:21.1-04,36.7498,-98.0449,3.1,usb000rz4r,2014-10-29 15:52:53-04,"27km E of Cherokee, Oklahoma",earthquake,0101000020AD100000C9E53FA4DF8258C039454772F95F4240,Oklahoma
2014-07-31 23:28:20-04,36.5823,-97.6107,3.2,usb000rz0y,2015-01-30 08:22:37.294-05,"27km SSE of Medford, Oklahoma",earthquake,0101000020AD100000B3EA73B5156758C0FB3A70CE884A4240,Oklahoma
2014-07-31 06:09:30.7-04,36.3006,-97.543,3.2,usb000rys0,2014-10-29 15:52:51-04,"22km W of Perry, Oklahoma",earthquake,0101000020AD100000976E1283C06258C0BC96900F7A264240,Oklahoma
2014-07-30 23:48:03.3-04,35.7185,-97.432,3.2,usb000ryqu,2015-01-29 17:07:47.127-05,"8km NNE of Edmond, Oklahoma",earthquake,0101000020AD100000CFF753E3A55B58C08716D9CEF7DB4140,Oklahoma
2014-07-30 16:46:59.08-04,35.718,-97.426,3.3,usb000rylj,2015-01-29 22:02:32.641-05,"8km NNE of Edmond, Oklahoma",earthquake,0101000020AD10000025068195435B58C096438B6CE7DB4140,Oklahoma
2014-07-30 16:21:32.94-04,35.719,-97.427,3.3,usb000ryl6,2015-01-28 14:21:13.823-05,"8km NNE of Edmond, Oklahoma",earthquake,0101000020AD10000017D9CEF7535B58C079E9263108DC4140,Oklahoma
2014-07-29 02:46:36-04,36.7561,-98.0453,4.3,usb000ry6y,2015-01-28 00:10:20.786-05,"27km E of Cherokee, Oklahoma",earthquake,0101000020AD10000090A0F831E68258C0B84082E2C7604240,Oklahoma
2014-07-28 22:26:50.8-04,36.7469,-98.408,3.3,usb000ry5e,2015-01-29 20:31:28.473-05,"4km W of Cherokee, Oklahoma",earthquake,0101000020AD100000263108AC1C9A58C0F2B0506B9A5F4240,Oklahoma
2014-07-28 15:08:04.22-04,36.747,-98.406,3,usb000s52u,2014-10-24 21:49:41-04,"4km W of Cherokee, Oklahoma",earthquake,0101000020AD100000448B6CE7FB9958C0560E2DB29D5F4240,Oklahoma
2014-07-27 22:19:20-04,36.144,-96.809,3.2,usb000rxt7,2015-01-29 20:54:59.274-05,"10km WNW of Yale, Oklahoma",earthquake,0101000020AD100000B29DEFA7C63358C0DF4F8D976E124240,Oklahoma
2014-07-25 04:56:51.6-04,36.662,-98.28,3.4,usb000rx2d,2015-01-30 06:30:26.687-05,"12km SSE of Cherokee, Oklahoma",earthquake,0101000020AD10000052B81E85EB9158C0DBF97E6ABC544240,Oklahoma
2014-07-23 05:58:13.2-04,35.8779,-97.3059,3.1,usb000rwdn,2014-10-24 21:49:33-04,"8km SSW of Langston, Oklahoma",earthquake,0101000020AD1000002BF697DD935358C04694F6065FF04140,Oklahoma
2014-07-23 02:02:26.4-04,35.8782,-97.3091,3.3,usb000rwcu,2015-01-29 17:27:01.112-05,"8km SSW of Langston, Oklahoma",earthquake,0101000020AD10000064CC5D4BC85358C071AC8BDB68F04140,Oklahoma
2014-07-18 13:41:13-04,36.675,-98.2098,3.3,usb000ru53,2014-10-17 17:12:09-04,"15km SE of Cherokee, Oklahoma",earthquake,0101000020AD100000DAACFA5C6D8D58C06666666666564240,Oklahoma
2014-07-18 01:37:28-04,36.121,-97.3193,3,usb000ru06,2014-10-17 17:12:08-04,"18km S of Perry, Oklahoma",earthquake,0101000020AD100000386744696F5458C0736891ED7C0F4240,Oklahoma
2014-07-15 10:47:53.9-04,36.7496,-97.7474,3,usb000rt3f,2015-01-29 21:36:14.172-05,"6km S of Medford, Oklahoma",earthquake,0101000020AD100000F241CF66D56F58C0728A8EE4F25F4240,Oklahoma
2014-07-15 09:08:40.9-04,35.5243,-97.1588,3.9,usb000rt2i,2015-01-28 06:20:34.249-05,"3km N of Harrah, Oklahoma",earthquake,0101000020AD100000B5A679C7294A58C07AA52C431CC34140,Oklahoma
2014-07-15 07:19:17.3-04,35.524,-97.1543,3.5,usb000rt1u,2015-01-28 17:36:28.071-05,"3km NNE of Harrah, Oklahoma",earthquake,0101000020AD10000076711B0DE04958C0508D976E12C34140,Oklahoma
2014-07-14 16:50:14.4-04,35.8721,-97.3092,3.3,usb000rsug,2015-01-30 12:48:46.125-05,"9km SSW of Langston, Oklahoma",earthquake,0101000020AD10000016FBCBEEC95358C0BA6B09F9A0EF4140,Oklahoma
2014-07-14 07:15:51.1-04,36.713,-97.888,3.9,usb000rsqv,2015-01-28 10:54:02.273-05,"17km SW of Medford, Oklahoma",earthquake,0101000020AD10000045B6F3FDD47858C025068195435B4240,Oklahoma
2014-07-13 14:51:02.2-04,35.8588,-97.3237,3,usb000rsm4,2015-01-30 19:34:37.08-05,"9km ESE of Guthrie, Oklahoma",earthquake,0101000020AD100000C66D3480B75458C004E78C28EDED4140,Oklahoma
